,obj_yearConstructed,obj_livingSpace,obj_noRooms,obj_numberOfFloors,obj_lotArea,obj_noParkSpaces,obj_buildingType,obj_cellar,obj_condition,obj_interiorQual,obj_heatingType,obj_newlyConst,obj_regio1,geo_krs,obj_purchasePrice,label
54,1960.0,190.0,6.0,2.0,904.0,3.0,multi_family_house,n,well_kept,no_information,central_heating,n,Rheinland_Pfalz,Ahrweiler_Kreis,249000.0,real
55,1990.0,125.22,4.0,,245.0,1.0,semidetached_house,y,need_of_renovation,no_information,central_heating,n,Nordrhein_Westfalen,Duisburg,450000.0,real
56,1964.0,109.0,4.0,,799.0,,single_family_house,y,well_kept,normal,stove_heating,n,Nordrhein_Westfalen,Rhein_Sieg_Kreis,449000.0,real
57,,135.0,5.0,2.0,339.0,1.0,no_information,n,need_of_renovation,no_information,no_information,n,Bayern,Tirschenreuth_Kreis,84500.0,real
58,1903.0,1267.78,30.0,,18000.0,20.0,multi_family_house,y,no_information,no_information,no_information,n,Thüringen,Eisenach,1990000.0,real
59,1992.0,146.0,4.0,3.0,277.0,6.0,multi_family_house,n,modernized,normal,self_contained_central_heating,n,Rheinland_Pfalz,Neuwied_Kreis,849000.0,real
60,1950.0,209.0,12.0,,521.0,,semidetached_house,n,no_information,no_information,no_information,n,Hessen,Rheingau_Taunus_Kreis,498000.0,real
61,1901.0,219.0,6.0,,900.0,,single_family_house,n,refurbished,luxury,gas_heating,n,Nordrhein_Westfalen,Bielefeld,595000.0,real
62,,165.0,4.0,1.0,475.0,2.0,bungalow,y,well_kept,normal,central_heating,n,Niedersachsen,Leer_Kreis,239000.0,real
63,1950.0,115.0,4.0,2.0,152.0,1.0,semidetached_house,n,well_kept,sophisticated,self_contained_central_heating,n,Niedersachsen,Aurich_Kreis,169000.0,real
64,1956.0,145.0,4.0,2.0,900.0,,single_family_house,y,modernized,no_information,central_heating,n,Rheinland_Pfalz,Worms,349000.0,real
65,,140.0,7.0,,261.0,,no_information,y,no_information,normal,central_heating,n,Nordrhein_Westfalen,Viersen_Kreis,249000.0,real
66,,163.0,7.0,,406.0,,single_family_house,n,no_information,no_information,no_information,n,Rheinland_Pfalz,Westerwaldkreis,95000.0,real
67,,928.24,22.0,,3160.0,,multi_family_house,y,no_information,no_information,no_information,n,Sachsen,Dresden,4150000.0,real
68,1950.0,207.0,9.0,3.0,1297.0,4.0,multi_family_house,n,need_of_renovation,simple,central_heating,n,Nordrhein_Westfalen,Unna_Kreis,398000.0,real
69,,130.0,5.0,2.0,337.0,,semidetached_house,y,first_time_use,sophisticated,no_information,n,Baden_Württemberg,Rastatt_Kreis,370000.0,real
70,2020.0,153.64,6.0,5.0,149.96,1.0,end_terrace_house,y,no_information,sophisticated,heat_pump,y,Bayern,München,1224500.0,real
71,2019.0,141.0,4.0,3.0,450.0,2.0,other_real_estate,n,first_time_use,sophisticated,central_heating,y,Nordrhein_Westfalen,Unna_Kreis,355000.0,real
72,1950.0,119.79,6.0,,679.0,2.0,single_family_house,n,well_kept,no_information,central_heating,n,Bayern,Main_Spessart_Kreis,299000.0,real
73,1961.0,110.0,4.0,2.0,628.0,1.0,single_family_house,y,need_of_renovation,simple,gas_heating,n,Nordrhein_Westfalen,Coesfeld_Kreis,249000.0,real
74,,667.0,28.0,3.0,419.0,,multi_family_house,y,need_of_renovation,simple,oil_heating,n,Baden_Württemberg,Schwäbisch_Hall_Kreis,299000.0,real
75,1880.0,220.0,10.0,,500.0,,multi_family_house,y,no_information,no_information,no_information,n,Sachsen,Mittelsachsen_Kreis,224000.0,real
