,obj_yearConstructed,obj_livingSpace,obj_noRooms,obj_numberOfFloors,obj_lotArea,obj_noParkSpaces,obj_buildingType,obj_cellar,obj_condition,obj_interiorQual,obj_heatingType,obj_newlyConst,obj_regio1,geo_krs,obj_purchasePrice,label
178,1987.0,88.0,6.0,2.0,629.0,,mid_terrace_house,y,no_information,no_information,gas_heating,n,Nordrhein_Westfalen,Lahn_Dill_Kreis,134000.0,fake
179,2012.0,142.0,4.0,2.0,969.0,2.0,multi_family_house,n,fully_renovated,sophisticated,central_heating,n,Bayern,Würzburg_Kreis,95000.0,fake
180,1980.0,150.0,5.0,,601.0,20.0,mid_terrace_house,y,well_kept,simple,central_heating,n,Baden_Württemberg,Bremen,477000.0,fake
181,1970.0,186.0,1.0,2.0,416.3,1.0,multi_family_house,y,no_information,sophisticated,central_heating,n,Brandenburg,Worms,359500.0,fake
182,1919.0,230.0,6.0,2.0,450.0,2.0,single_family_house,n,no_information,no_information,central_heating,n,Bayern,Düsseldorf,270000.0,fake
183,1951.0,270.0,5.0,3.0,546.0,3.0,single_family_house,y,modernized,sophisticated,central_heating,n,Nordrhein_Westfalen,Neuwied_Kreis,445000.0,fake
184,1996.0,171.19,5.0,2.0,747.0,,single_family_house,n,no_information,no_information,electric_heating,n,Nordrhein_Westfalen,Heilbronn_Kreis,595000.0,fake
185,1960.0,316.0,14.0,,870.0,1.0,farmhouse,n,no_information,sophisticated,central_heating,n,Brandenburg,Görlitz_Kreis,398000.0,fake
186,,120.0,4.0,,1554.0,,single_family_house,y,need_of_renovation,no_information,floor_heating,n,Niedersachsen,Karlsruhe_Kreis,795000.0,fake
187,1930.0,125.0,5.0,4.0,319.0,1.0,multi_family_house,n,no_information,no_information,central_heating,n,Niedersachsen,Sömmerda_Kreis,670000.0,fake
188,,120.0,6.0,,640.0,7.0,single_family_house,n,no_information,sophisticated,gas_heating,n,Sachsen,Cuxhaven_Kreis,1298000.0,fake
189,1855.0,130.0,3.0,2.0,710.0,,multi_family_house,n,mint_condition,sophisticated,central_heating,n,Bayern,Saarlouis_Kreis,69000.0,fake
190,2017.0,400.0,5.0,5.0,600.0,5.0,single_family_house,n,no_information,no_information,no_information,y,Baden_Württemberg,Greifswald,295000.0,fake
191,1998.0,160.0,,2.0,540.0,2.0,semidetached_house,n,need_of_renovation,normal,central_heating,y,Mecklenburg_Vorpommern,Neu_Ulm_Kreis,349900.0,fake
192,,150.0,8.0,2.0,280.0,,semidetached_house,y,no_information,normal,no_information,n,Niedersachsen,München_Kreis,2250000.0,fake
193,2021.0,224.0,6.0,3.0,698.0,14.0,single_family_house,n,mint_condition,luxury,central_heating,n,Schleswig_Holstein,Main_Kinzig_Kreis,189000.0,fake
194,1993.0,100.0,6.0,,456.0,2.0,single_family_house,n,no_information,no_information,floor_heating,n,Baden_Württemberg,Main_Spessart_Kreis,997000.0,fake
195,1920.0,163.0,5.0,2.0,186.0,,other_real_estate,n,well_kept,sophisticated,oil_heating,n,Rheinland_Pfalz,Oberbergischer_Kreis,380000.0,fake
196,,166.0,6.0,,1200.0,,single_family_house,n,well_kept,sophisticated,stove_heating,n,Niedersachsen,Görlitz_Kreis,1380000.0,fake
197,1993.0,194.0,7.0,,853.0,75.0,single_family_house,n,mint_condition,no_information,no_information,n,Niedersachsen,Merzig_Wadern_Kreis,206000.0,fake
198,1985.0,159.0,,2.0,850.0,2.0,bungalow,n,no_information,sophisticated,no_information,n,Nordrhein_Westfalen,Ebersberg_Kreis,170000.0,fake
199,2019.0,156.0,5.0,2.0,1010.0,,farmhouse,n,no_information,simple,central_heating,n,Bayern,Ebersberg_Kreis,225000.0,fake
